,,clean,smell,noise,town,district,longitude,latitude,transformed_longitude,transformed_latitude
157,天原二村居委会,3,0.0,,仙霞新村街道,长宁区,121.38592944139,31.2150598417383,-2843397.3406041595,4660806.04216801
158,天钥新村第三居委会,3,0.0,0.0,枫林路街道,徐汇区,121.443156665747,31.1878363705521,-2848866.8326553,4659297.763357261
159,天馨花园第一居委会,2,0.0,0.0,杨行镇,宝山区,121.426125248181,31.365110795227,-2842161.183732122,4651436.903945443
160,天马社区居委会,2,0.0,0.0,马陆镇,嘉定区,121.28167212207,31.3361120524293,-2831293.6407421827,4660017.346087211
161,天马社区居委会,2,0.0,0.0,佘山镇,松江区,121.143875959408,31.0761689775163,-2827801.0684326687,4679593.426541043
162,好日子大家园第二居委会,3,0.0,0.0,顾村镇,宝山区,121.3561427333,31.3535919762887,-2836823.530457724,4655472.487629821
163,妙港居委会,3,0.0,1.0,川沙新镇,浦东新区,121.691223800038,31.1881207137,-2869004.3325695894,4646905.820201654
164,威宁居委会,3,0.0,0.0,仙霞新村街道,长宁区,121.381427854312,31.2105263395189,-2843166.7838366507,4661251.802434477
165,威海居委会,3,,0.0,南京西路街道,静安区,121.454207889382,31.2268137677412,-2848597.0406634933,4656838.064479825
166,娄塘社区居委会,1,0.0,1.0,徐行镇,嘉定区,121.211117730099,31.4302241638141,-2822737.2573471144,4658852.778570939
167,学宫新村居委会,3,0.0,,城桥镇,崇明区,121.401781123799,31.6183514351706,-2832542.215387679,4640124.713875438
168,安图新村居委会,3,0.0,0.0,长白新村街道,杨浦区,121.537107193242,31.2924166867807,-2853357.663284446,4649494.709372406
169,宛南六村居委会,4,0.0,0.0,枫林路街道,徐汇区,121.441752761081,31.1813857826278,-2848945.839515315,4659683.51786441
170,宝宸怡景园居委会,3,0.0,0.0,庙行镇,宝山区,121.42988148794,31.3329153123918,-2843434.52948965,4652835.215819494
171,宝宸怡景园居委会,3,0.0,0.0,庙行镇,宝山区,121.42988148794,31.3329153123918,-2843434.52948965,4652835.215819494
172,宝杨路二零二一弄居委会,3,0.0,0.0,杨行镇,宝山区,121.459723037588,31.3921055040657,-2844074.9007686693,4648440.104367401
173,宾阳路居委会,2,0.0,0.0,漕河泾街道,徐汇区,121.431477385273,31.1635777231334,-2848643.07749907,4661066.400818824
174,富丽居委会,3,0.0,0.0,罗店镇,宝山区,121.361038682988,31.3902382740771,-2836120.488870878,4653423.831026443
175,富民居委会,3,0.0,0.0,张堰镇,金山区,121.282904605163,30.809224335135,-2847049.7262547985,4685723.098739075
176,富特三居委会,3,0.0,1.0,高桥镇,浦东新区,121.583199098359,31.3362725625287,-2855773.460244035,4645044.925209273
177,富辰居委会,3,0.0,0.0,罗店镇,宝山区,121.355942581984,31.3872284563282,-2835797.0292780627,4653824.496276442
178,寿光路二居委会,2,0.0,0.0,沪东新村街道,浦东新区,121.580181118363,31.2773638424674,-2857306.1392043424,4648086.631953251
179,小寅居委会,2,0.0,0.0,九亭镇,松江区,121.286581648824,31.1436060081108,-2837441.4729489423,4669234.396452917
180,屹立家园居委会,3,0.0,0.0,庙行镇,宝山区,121.427833296369,31.3285692477726,-2843398.848613028,4653150.662911704
181,州桥社区居委会,3,1.0,1.0,嘉定镇街道,嘉定区,121.246104141992,31.3849543073954,-2826938.3624269343,4659364.556049337
182,工三(2)居委会,2,,0.0,殷行街道,杨浦区,121.532630044341,31.3264510475778,-2851968.7857106817,4648046.246758343
183,左家宅居委会,3,0.0,0.0,新华路街道,长宁区,121.419795496764,31.2016672637332,-2846552.812942427,4659781.1453628475
184,巨野路居委会,2,,0.0,洋泾街道,浦东新区,121.53869070691,31.2460070556811,-2854883.2354340036,4651692.211421939
185,市一(1)居委会,2,0.0,1.0,殷行街道,杨浦区,121.530083990783,31.3181246537298,-2852013.210536125,4648582.043515789
186,市光四(1)居委会,3,,1.0,殷行街道,杨浦区,121.529045347564,31.3225260572318,-2851796.286725168,4648417.516091314
187,市光路第三居委会,3,0.0,0.0,五角场镇,杨浦区,121.513155471847,31.3124795570859,-2850809.6609643972,4649701.824825258
188,市光路第三居委会,2,0.0,0.0,五角场镇,杨浦区,121.513155471847,31.3124795570859,-2850809.6609643972,4649701.824825258
189,平塘居委会,3,1.0,0.0,新泾镇,长宁区,121.359549556766,31.2142011735453,-2841276.8065357716,4662156.824482358
190,平望街居委会,2,0.0,0.0,南京东路街道,黄浦区,121.475349197007,31.2331286110965,-2850125.61360675,4655477.059101562
191,幸福一村居委会,2,0.0,0.0,彭浦镇,静安区,121.438880879549,31.306073790473,-2844972.1987764714,4653708.423021846
192,庆南居委会,2,0.0,0.0,合庆镇,浦东新区,121.713658668213,31.2352720498652,-2869399.58096609,4643477.509187493
193,庆源居委会,3,0.0,0.0,嘉兴路街道,虹口区,121.486252422811,31.2577110828002,-2850273.090039221,4653729.00168262
194,庆阳居委会,3,0.0,0.0,嘉兴路街道,虹口区,121.487594630387,31.2640732331931,-2850190.911278797,4653350.074935707
195,府谷居委会,1,,1.0,小东门街道,黄浦区,121.495211308954,31.2162589914593,-2852245.853308621,4655315.521334885
196,康城第三居委会,3,0.0,0.0,莘庄镇,闵行区,121.348509170861,31.1060323492135,-2843606.767959348,4668003.849915457
197,延中居委会,2,0.0,0.0,瑞金二路街道,黄浦区,121.454103073398,31.2239874026965,-2848673.2915647468,4656981.856859552
198,延中居委会,2,0.0,0.0,南京西路街道,静安区,121.448760582434,31.2239444079081,-2848240.332572737,4657249.566606723
199,建设新村居委会,3,0.0,0.0,欧阳路街道,虹口区,121.481397817655,31.2731845310413,-2849413.7860541125,4653211.139486716
200,建龙居委会,3,0.0,0.0,漕泾镇,金山区,121.41635493703,30.7961266484261,-2858343.3337299316,4679713.776965458
201,徐安第一社区居委会,3,0.0,0.0,徐泾镇,青浦区,121.27629068057,31.1630057561108,-2836025.0942984098,4668792.945227622
202,德州五村居委会,2,0.0,0.0,上钢新村街道,浦东新区,121.490962255104,31.1691337014592,-2853314.1640848415,4657834.562897102
203,志丹居委会,2,0.0,0.0,甘泉路街道,普陀区,121.424239037101,31.2626925031565,-2845085.086117005,4656566.662514358
204,志成居委会,3,0.0,0.0,淮海中路街道,黄浦区,121.477177021402,31.2195108806226,-2850682.840056667,4656053.685677659
205,政通路第一居委会,2,0.0,0.0,五角场街道,杨浦区,121.51537758151,31.3028752751738,-2851279.236634564,4650062.983323106
206,文化佳园居委会,4,0.0,0.0,五角场镇,杨浦区,121.520027934441,31.2908564574595,-2852018.545101421,4650421.651346637
207,文定居委会,3,0.0,0.0,徐家汇街道,徐汇区,121.429241128375,31.1901074887696,-2847667.139299077,4659878.267117285
208,文苑第一居委会,2,1.0,0.0,凉城新村街道,虹口区,121.461238711797,31.3005937940683,-2846952.7054543872,4652867.188364781
209,文苑第二居委会,3,0.0,0.0,凉城新村街道,虹口区,121.461281238938,31.2980708306043,-2847032.006643335,4652989.03531735
210,新东苑居委会,2,0.0,1.0,新桥镇,松江区,121.323810807123,31.0675672445327,-2842739.0402935483,4671110.245450061
211,新乐居委会,2,0.0,1.0,湖南路街道,徐汇区,121.449916710387,31.2191650984905,-2848477.6179523887,4657426.414771476
212,新乐居委会,2,0.0,1.0,新桥镇,松江区,121.307302319246,31.0654868437429,-2841454.8962576594,4672030.817467123
213,新乐居委会,2,0.0,1.0,竖新镇,崇明区,121.577382193433,31.5660147735629,-2848341.9455512855,4634011.636438267
